threshold,accuracy,TP,TN,FP,FN,precision,recall,f1
0.3,97.66,530,304,12,8,0.9779,0.9851,0.9815
0.35,98.01,530,307,9,8,0.9833,0.9851,0.9842
0.4,98.01,529,308,8,9,0.9851,0.9833,0.9842
0.45,98.01,528,309,7,10,0.9869,0.9814,0.9842
0.5,97.89,525,311,5,13,0.9906,0.9758,0.9831
0.55,97.78,524,311,5,14,0.9905,0.974,0.9822
0.6,97.66,523,311,5,15,0.9905,0.9721,0.9812
